Ciudad,Altitud,Año,Mes,Día,T.Max,T.Min,T.media,Dir.Viento,Vel.Viento,Precipitación,Sol,Presión.máx,Presión.min
Huelva,19,1990,3,28,23.0,5.4,14.2,60,3.1,0.0,11.0,1019.5,1015.0
Huelva,19,1990,3,29,22.2,6.2,14.2,80,3.3,0.0,10.8,1017.5,1013.6
Huelva,19,1990,3,30,19.4,9.2,14.3,100,4.7,1.7,2.4,1015.8,1009.5
Huelva,19,1990,3,31,20.2,12.2,16.2,160,6.1,12.8,1.1,1012.5,1007.9
Huelva,19,1990,4,1,19.0,13.6,16.3,160,6.4,13.0,5.0,1017.1,1012.0
Huelva,19,1990,4,2,19.2,9.0,14.1,250,4.2,0.0,7.2,1017.7,1015.4
Huelva,19,1990,4,3,18.4,7.2,12.8,230,3.9,0.0,5.8,1016.8,1011.9
Huelva,19,1990,4,4,18.6,9.6,14.1,220,3.3,2.5,7.5,1011.9,1009.1
Huelva,19,1990,4,5,17.4,12.2,14.8,180,4.7,16.6,1.5,1009.1,1000.0
Huelva,19,1990,4,6,17.0,10.2,13.6,300,4.7,1.5,6.8,1009.1,999.2
Huelva,19,1990,4,7,18.4,7.6,13.0,170,3.9,8.4,6.8,1009.1,1003.3
Huelva,19,1990,4,8,17.0,9.6,13.3,190,5.3,12.4,5.2,1007.4,1003.3
Huelva,19,1990,4,9,18.4,7.6,13.0,290,2.2,0.0,6.5,1013.1,1006.9
Huelva,19,1990,4,10,18.2,8.4,13.3,340,3.1,0.0,11.2,1019.1,1012.7
Huelva,19,1990,4,11,21.4,7.2,14.3,30,2.5,0.0,11.5,1020.4,1018.6
Huelva,19,1990,4,12,24.6,9.4,17.0,30,3.3,0.0,11.6,1019.0,1016.0
Huelva,19,1990,4,13,21.4,12.0,16.7,310,5.6,0.0,9.1,1018.1,1015.8
Huelva,19,1990,4,14,23.4,9.8,16.6,340,1.9,0.0,11.3,1023.3,1018.1
Huelva,19,1990,4,15,25.6,11.0,18.3,220,3.1,0.0,12.0,1024.8,1021.8
Huelva,19,1990,4,16,25.4,10.4,17.9,140,3.1,0.0,12.1,1023.3,1020.2
Huelva,19,1990,4,17,26.4,11.0,18.7,10,1.9,0.0,12.2,1023.1,1019.6
Huelva,19,1990,4,18,27.0,11.4,19.2,10,3.6,0.0,12.2,1022.9,1020.3
Huelva,19,1990,4,19,26.8,10.4,18.6,280,2.5,0.0,12.2,1022.2,1015.6
Huelva,19,1990,4,20,21.6,11.0,16.3,280,3.3,0.0,12.1,1015.6,1008.5
Huelva,19,1990,4,21,18.6,7.0,12.8,10,2.8,0.0,9.8,1011.5,1008.0
Huelva,19,1990,4,22,20.0,7.2,13.6,240,3.9,0.1,10.2,1013.6,1011.0
Huelva,19,1990,4,23,22.0,7.8,14.9,240,3.3,0.0,11.8,1014.2,1012.3
Huelva,19,1990,4,24,22.2,9.8,16.0,290,3.1,0.0,9.8,1014.4,1012.3
Huelva,19,1990,4,25,21.2,8.6,14.9,180,2.2,0.0,11.3,1017.2,1013.9
Huelva,19,1990,4,26,22.2,9.0,15.6,70,3.1,0.1,6.5,1017.2,1013.6
Huelva,19,1990,4,27,26.2,11.0,18.6,100,5.0,4.6,7.2,1015.0,1010.0
Huelva,19,1990,4,28,19.0,11.0,15.0,230,2.2,9.9,0.5,1013.0,1011.0
Huelva,19,1990,4,29,21.0,10.6,15.8,200,3.1,0.4,6.2,1012.8,1010.1
Huelva,19,1990,4,30,20.2,14.0,17.1,180,2.2,3.3,1.6,1015.7,1011.7
Huelva,19,1990,5,1,23.2,12.6,17.9,250,1.9,3.9,3.5,1016.6,1014.7
Huelva,19,1990,5,2,23.2,11.6,17.4,70,2.8,0.3,7.5,1017.7,1015.5
Huelva,19,1990,5,3,24.0,12.6,18.3,60,3.3,0.0,12.0,1017.7,1014.2
Huelva,19,1990,5,4,25.2,11.6,18.4,100,3.6,0.0,11.7,1016.0,1012.3
Huelva,19,1990,5,5,25.0,11.0,18.0,70,3.6,0.0,12.0,1016.0,1013.4
Huelva,19,1990,5,6,25.4,11.2,18.3,240,2.8,0.0,11.8,1016.0,1013.9
Huelva,19,1990,5,7,25.2,12.0,18.6,220,3.1,0.0,10.5,1015.8,1012.1
Huelva,19,1990,5,8,25.6,12.2,18.9,210,2.5,0.0,11.7,1013.2,1010.6
Huelva,19,1990,5,9,24.2,14.0,19.1,60,1.1,0.0,0.9,1011.6,1007.5
Huelva,19,1990,5,10,25.0,15.2,20.1,190,3.1,0.0,7.8,1009.3,1007.2
Huelva,19,1990,5,11,25.2,14.2,19.7,230,2.5,1.1,7.9,1010.6,1008.5
Huelva,19,1990,5,12,25.0,17.0,21.0,230,6.1,0.0,7.8,1014.5,1008.6
Huelva,19,1990,5,13,24.0,14.6,19.3,180,2.8,0.0,10.4,1016.8,1014.4
Huelva,19,1990,5,14,27.0,12.2,19.6,310,1.4,0.0,10.9,1016.0,1014.1
Huelva,19,1990,5,15,29.2,15.4,22.3,230,1.9,0.0,12.0,1016.7,1014.4
Huelva,19,1990,5,16,25.6,15.4,20.5,200,2.8,0.0,8.8,1016.2,1013.4
Huelva,19,1990,5,17,25.4,13.0,19.2,240,3.1,0.0,11.8,1016.5,1014.5
Huelva,19,1990,5,18,26.4,13.6,20.0,260,4.2,0.0,12.3,1015.7,1014.6
Huelva,19,1990,5,19,27.2,14.4,20.8,330,3.6,0.0,12.6,1017.4,1014.7
Huelva,19,1990,5,20,27.0,13.6,20.3,230,3.3,0.0,11.1,1018.3,1014.5
Huelva,19,1990,5,21,26.0,13.2,19.6,250,3.6,0.0,11.4,1015.4,1011.6
Huelva,19,1990,5,22,25.2,13.2,19.2,230,3.3,0.0,13.0,1013.1,1010.4
Huelva,19,1990,5,23,24.0,12.6,18.3,230,3.1,0.0,12.2,1016.6,1013.1
Huelva,19,1990,5,24,25.2,13.4,19.3,250,4.4,0.0,12.2,1017.6,1016.3
Huelva,19,1990,5,25,29.2,14.0,21.6,240,3.1,0.0,9.1,1017.9,1015.9
Huelva,19,1990,5,26,30.0,15.0,22.5,310,1.9,0.0,6.6,1017.0,1014.6
Huelva,19,1990,5,27,30.6,17.2,23.9,350,4.2,0.0,13.2,1016.5,1014.9
Huelva,19,1990,5,28,30.2,17.6,23.9,80,4.2,0.0,12.5,1020.5,1016.0
Huelva,19,1990,5,29,32.2,14.6,23.4,90,2.5,0.0,12.4,1020.5,1015.9
Huelva,19,1990,5,30,32.2,14.0,23.1,190,2.8,0.0,13.0,1016.6,1010.7
Huelva,19,1990,5,31,32.2,14.4,23.3,190,2.8,0.0,6.9,1013.6,1009.6
Huelva,19,1990,6,1,32.0,19.0,25.5,240,2.8,0.0,8.2,1013.8,1008.8
Huelva,19,1990,6,2,25.6,12.6,19.1,160,3.6,0.1,6.3,1014.9,1011.8
Huelva,19,1990,6,3,25.2,15.2,20.2,190,3.6,0.0,11.9,1014.9,1012.3
Huelva,19,1990,6,4,26.2,14.4,20.3,230,4.4,0.0,9.8,1012.6,1010.6
Huelva,19,1990,6,5,29.0,16.8,22.9,280,4.2,0.0,12.7,1016.8,1012.3
Huelva,19,1990,6,6,29.2,14.6,21.9,230,4.4,0.0,13.1,1017.3,1015.6
Huelva,19,1990,6,7,30.4,15.4,22.9,250,4.2,0.0,12.8,1016.4,1013.0
Huelva,19,1990,6,8,32.0,17.4,24.7,230,3.3,0.0,12.9,1013.1,1010.4
Huelva,19,1990,6,9,26.6,17.0,21.8,200,3.6,0.0,12.8,1012.3,1010.9
Huelva,19,1990,6,10,24.4,13.2,18.8,250,4.2,0.0,12.5,1012.1,1010.0
Huelva,19,1990,6,11,24.6,15.0,19.8,240,2.8,0.0,6.4,1013.0,1011.6
Huelva,19,1990,6,12,25.0,13.8,19.4,250,4.2,0.0,8.2,1015.1,1012.9
Huelva,19,1990,6,13,25.0,15.0,20.0,220,3.6,0.0,11.8,1015.2,1013.8
Huelva,19,1990,6,14,25.6,14.0,19.8,230,3.6,0.0,11.2,1016.2,1014.4
Huelva,19,1990,6,15,25.6,13.0,19.3,220,3.1,0.0,12.6,1016.2,1013.8
Huelva,19,1990,6,16,24.6,16.0,20.3,230,4.4,0.0,9.6,1017.8,1015.3
Huelva,19,1990,6,17,28.0,15.8,21.9,250,4.4,0.0,13.1,1016.7,1014.0
Huelva,19,1990,6,18,28.0,14.6,21.3,240,3.9,0.0,13.2,1015.2,1013.3
Huelva,19,1990,6,19,29.0,16.4,22.7,250,5.3,0.0,13.0,1016.5,1013.9
Huelva,19,1990,6,20,27.6,16.0,21.8,240,5.3,0.0,6.6,1018.2,1016.3
Huelva,19,1990,6,21,26.6,14.4,20.5,240,5.3,0.0,12.8,1017.8,1015.9
Huelva,19,1990,6,22,29.2,17.4,23.3,230,4.4,0.0,11.8,1017.0,1012.2
Huelva,19,1990,6,23,34.4,18.4,26.4,230,3.9,0.0,12.5,1014.1,1011.9
Huelva,19,1990,6,24,32.4,18.8,25.6,210,3.6,0.0,8.9,1015.8,1013.0
Huelva,19,1990,6,25,27.2,19.2,23.2,210,4.2,0.0,7.8,1017.4,1015.1
Huelva,19,1990,6,26,29.4,17.0,23.2,230,2.8,0.0,9.4,1017.4,1014.5
Huelva,19,1990,6,27,28.4,18.8,23.6,190,3.6,0.0,11.2,1016.4,1014.1
Huelva,19,1990,6,28,30.0,15.6,22.8,230,4.2,0.0,12.8,1015.3,1011.3
Huelva,19,1990,6,29,32.4,16.6,24.5,230,3.1,0.0,12.3,1014.6,1011.3
Huelva,19,1990,6,30,36.6,18.4,27.5,330,3.3,0.0,13.4,1016.5,1013.9
Huelva,19,1990,7,1,38.0,16.0,27.0,300,2.2,0.0,12.4,1016.9,1012.3
Huelva,19,1990,7,2,34.0,16.8,25.4,320,4.2,0.0,12.5,1015.2,1012.0
Huelva,19,1990,7,3,33.6,19.2,26.4,10,3.6,0.0,13.2,1014.3,1011.2
Huelva,19,1990,7,4,29.8,19.4,24.6,180,3.6,0.0,12.6,1015.7,1013.0
Huelva,19,1990,7,5,33.4,18.0,25.7,250,3.9,0.0,12.5,1015.2,1011.9
Huelva,19,1990,7,6,33.4,19.0,26.2,330,3.9,0.0,12.9,1016.6,1012.7
Huelva,19,1990,7,7,32.6,18.0,25.3,310,2.8,0.0,12.6,1017.3,1015.1
Huelva,19,1990,7,8,34.8,19.4,27.1,220,2.2,0.0,12.6,1017.3,1013.0
Huelva,19,1990,7,9,36.4,19.4,27.9,240,3.9,0.0,12.7,1015.0,1011.0
Huelva,19,1990,7,10,36.4,19.8,28.1,180,3.3,0.0,12.7,1013.1,1011.1
Huelva,19,1990,7,11,33.2,19.8,26.5,210,3.1,0.0,12.6,1013.2,1011.2
Huelva,19,1990,7,12,29.4,20.6,25.0,210,3.1,0.0,12.6,1014.9,1012.9
Huelva,19,1990,7,13,27.0,18.2,22.6,170,3.9,0.0,10.8,1014.0,1011.9
Huelva,19,1990,7,14,28.0,15.8,21.9,220,4.7,0.0,12.7,1014.5,1012.1
Huelva,19,1990,7,15,32.2,16.8,24.5,220,3.1,0.0,12.2,1015.9,1013.7
Huelva,19,1990,7,16,36.6,18.8,27.7,200,2.8,0.0,11.7,1017.6,1014.8
Huelva,19,1990,7,17,36.0,19.6,27.8,60,3.1,0.0,11.9,1017.6,1012.1
Huelva,19,1990,7,18,37.4,22.0,29.7,210,3.1,0.0,6.0,1013.7,1008.6
Huelva,19,1990,7,19,36.4,21.8,29.1,210,3.1,0.0,7.2,1012.1,1010.2
Huelva,19,1990,7,20,37.6,21.4,29.5,210,1.9,0.0,10.6,1013.5,1012.1
Huelva,19,1990,7,21,36.0,22.0,29.0,260,2.8,0.0,4.2,1015.1,1012.9
Huelva,19,1990,7,22,38.0,24.0,31.0,190,2.8,0.0,10.0,1013.1,1011.3
Huelva,19,1990,7,23,37.6,21.4,29.5,210,3.6,0.0,10.8,1013.4,1011.6
Huelva,19,1990,7,24,38.6,20.6,29.6,200,3.6,0.0,9.4,1014.4,1012.0
Huelva,19,1990,7,25,32.0,19.4,25.7,230,3.9,0.0,10.3,1016.0,1014.3
Huelva,19,1990,7,26,29.0,18.4,23.7,240,4.4,0.0,10.7,1015.9,1013.1
Huelva,19,1990,7,27,29.0,19.4,24.2,240,4.7,0.0,9.3,1014.0,1012.3
Huelva,19,1990,7,28,29.6,19.0,24.3,240,4.4,0.0,12.7,1017.1,1013.0
Huelva,19,1990,7,29,36.0,18.2,27.1,320,3.3,0.0,12.4,1017.7,1014.8
Huelva,19,1990,7,30,37.6,19.4,28.5,150,3.1,0.0,11.8,1016.6,1014.4
Huelva,19,1990,7,31,35.0,21.4,28.2,180,3.1,0.0,11.7,1016.3,1014.8
Huelva,19,1990,8,1,36.0,20.4,28.2,230,3.3,0.0,12.0,1016.0,1013.3
Huelva,19,1990,8,2,37.6,21.0,29.3,240,4.2,0.0,12.4,1014.6,1011.7
Huelva,19,1990,8,3,40.4,20.6,30.5,210,2.5,0.0,10.9,1015.0,1012.3
Huelva,19,1990,8,4,39.0,22.0,30.5,190,2.2,0.0,11.8,1018.7,1014.8
Huelva,19,1990,8,5,38.4,21.8,30.1,240,3.9,0.0,10.9,1018.7,1015.3
Huelva,19,1990,8,6,39.4,21.4,30.4,220,3.9,0.0,10.2,1015.9,1009.8
Huelva,19,1990,8,7,32.6,20.6,26.6,230,2.8,0.0,9.0,1010.6,1009.0
Huelva,19,1990,8,8,29.6,22.6,26.1,160,2.8,0.0,3.8,1015.8,1010.4
Huelva,19,1990,8,9,34.0,21.4,27.7,190,3.3,0.0,9.5,1017.2,1014.9
Huelva,19,1990,8,10,36.6,22.2,29.4,230,1.9,0.0,10.5,1017.6,1015.0
Huelva,19,1990,8,11,37.0,19.8,28.4,200,3.1,0.0,12.0,1016.8,1013.3
Huelva,19,1990,8,12,33.0,19.8,26.4,230,2.8,0.0,11.5,1014.5,1010.6
Huelva,19,1990,8,13,31.0,19.4,25.2,210,3.9,0.0,10.3,1014.8,1012.1
Huelva,19,1990,8,14,32.2,19.0,25.6,260,4.4,0.0,12.3,1016.0,1014.2
Huelva,19,1990,8,15,32.8,19.0,25.9,230,3.3,0.0,11.8,1017.4,1014.7
Huelva,19,1990,8,16,34.2,19.0,26.6,230,3.3,0.0,11.4,1017.7,1015.5
Huelva,19,1990,8,17,32.4,19.0,25.7,180,3.3,0.0,11.6,1017.6,1015.4
Huelva,19,1990,8,18,36.8,19.4,28.1,190,3.6,0.0,11.3,1016.5,1012.5
Huelva,19,1990,8,19,28.2,22.2,25.2,170,4.4,0.0,5.8,1016.0,1013.1
Huelva,19,1990,8,20,28.2,21.4,24.8,230,3.1,0.0,6.6,1017.2,1015.4
Huelva,19,1990,8,21,28.0,18.0,23.0,220,3.3,0.0,4.7,1016.9,1015.1
Huelva,19,1990,8,22,28.6,19.2,23.9,250,4.2,0.0,9.8,1016.4,1014.3
Huelva,19,1990,8,23,29.6,19.2,24.4,240,2.5,0.0,11.2,1018.2,1015.8
Huelva,19,1990,8,24,31.2,18.8,25.0,310,3.3,0.0,11.2,1018.8,1017.3
Huelva,19,1990,8,25,35.4,19.0,27.2,230,2.5,0.0,12.0,1019.3,1016.3
Huelva,19,1990,8,26,34.4,19.4,26.9,240,3.1,0.0,11.5,1017.3,1014.4
Huelva,19,1990,8,27,34.8,20.6,27.7,230,4.4,0.0,9.8,1014.7,1013.5
Huelva,19,1990,8,28,34.0,23.0,28.5,180,3.9,0.0,9.0,1014.1,1012.1
Huelva,19,1990,8,29,32.2,17.4,24.8,250,3.9,0.0,11.7,1016.6,1013.9
Huelva,19,1990,8,30,32.0,19.8,25.9,240,3.9,0.0,11.4,1016.1,1012.7
Huelva,19,1990,8,31,33.0,17.4,25.2,320,2.2,0.0,10.9,1013.2,1011.5
Huelva,19,1990,9,1,31.5,17.0,24.2,180,3.1,0.0,10.5,1014.1,1012.0
Huelva,19,1990,9,2,30.6,19.0,24.8,260,3.3,0.0,11.0,1015.8,1013.1
Huelva,19,1990,9,3,32.4,20.2,26.3,250,3.9,0.0,10.0,1016.3,1012.2
Huelva,19,1990,9,4,33.2,19.8,26.5,220,3.6,0.0,10.3,1013.1,1009.9
Huelva,19,1990,9,5,31.0,19.4,25.2,190,3.1,0.0,10.4,1013.0,1010.0
Huelva,19,1990,9,6,30.2,20.6,25.4,190,3.6,0.0,10.3,1014.6,1012.6
Huelva,19,1990,9,7,30.6,18.2,24.4,240,3.3,0.0,10.5,1013.8,1011.2
Huelva,19,1990,9,8,27.0,19.8,23.4,190,3.6,0.0,9.5,1012.5,1011.0
Huelva,19,1990,9,9,28.5,16.5,22.5,240,2.8,0.0,10.1,1013.3,1011.2
Huelva,19,1990,9,10,32.6,17.0,24.8,190,2.2,0.0,3.1,1014.2,1011.2
Huelva,19,1990,9,11,30.0,18.6,24.3,240,2.8,0.0,9.5,1015.1,1013.5
Huelva,19,1990,9,12,28.8,18.6,23.7,190,3.1,0.0,7.9,1015.9,1014.3
Huelva,19,1990,9,13,30.0,17.4,23.7,250,3.9,0.0,9.4,1016.9,1015.2
Huelva,19,1990,9,14,27.5,18.4,23.0,250,2.2,0.1,2.7,1018.8,1015.9
Huelva,19,1990,9,15,33.5,20.6,27.0,290,2.5,0.5,5.4,1019.8,1015.8
Huelva,19,1990,9,16,32.0,19.2,25.6,240,2.8,0.0,9.1,1016.8,1013.0
Huelva,19,1990,9,17,29.5,15.8,22.6,250,3.1,0.0,7.5,1016.4,1013.3
Huelva,19,1990,9,18,33.6,17.0,25.3,180,4.4,0.0,4.7,1015.0,1012.3
Huelva,19,1990,9,19,29.6,20.0,24.8,180,3.6,0.0,6.2,1016.0,1013.0
Huelva,19,1990,9,20,30.0,16.8,23.4,230,3.9,0.0,9.8,1017.5,1015.8
Huelva,19,1990,9,21,31.6,16.8,24.2,350,3.1,0.0,9.5,1018.1,1015.5
Huelva,19,1990,9,22,28.6,16.8,22.7,320,2.5,0.0,2.5,1016.8,1014.7
Huelva,19,1990,9,23,25.6,19.0,22.3,250,3.1,0.0,0.8,1017.4,1015.8
Huelva,19,1990,9,24,28.6,18.2,23.4,250,1.9,0.0,7.0,1016.8,1012.2
Huelva,19,1990,9,25,27.0,17.0,22.0,230,3.6,0.0,9.6,1012.2,1009.8
Huelva,19,1990,9,26,30.6,17.0,23.8,30,2.8,0.0,8.3,1016.1,1012.1
Huelva,19,1990,9,27,33.6,20.6,27.1,190,4.4,0.0,6.8,1020.2,1016.1
Huelva,19,1990,9,28,35.4,22.6,29.0,40,1.7,0.0,0.9,1021.7,1014.7
Huelva,19,1990,9,29,27.0,21.6,24.3,40,2.8,5.7,3.2,1016.4,1014.1
Huelva,19,1990,9,30,27.0,18.8,22.9,190,3.6,0.0,8.1,1016.6,1014.8
Huelva,19,1990,10,1,27.6,17.6,22.6,230,3.1,0.0,7.5,1015.9,1014.1
Huelva,19,1990,10,2,28.8,16.2,22.5,250,3.6,0.0,8.7,1016.6,1014.6
Huelva,19,1990,10,3,25.6,14.8,20.2,250,3.9,1.6,6.0,1015.8,1013.5
Huelva,19,1990,10,4,24.6,15.2,19.9,320,2.5,0.0,8.0,1017.5,1015.1
